price,price_per_sq_ft,bhk,sqft,bathrooms,has_lift,has_parking,has_gym,has_security,has_power_backup,has_swimming_pool,lat,lon,property_type,subproperty_type,age
4750000,5491.0,2,665.0,2.0,1,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
8500000,11184.0,2,548.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
11500000,10870.0,2,886.0,2.0,1,1,0,0,0,0,18.599348,73.762495,Residential,Apartment,0
4900000,8167.0,1,486.0,1.0,1,1,0,0,0,0,18.616655,73.789527,Residential,Apartment,0
3700000,3524.0,2,850.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
3600000,7200.0,1,400.0,1.0,0,1,0,0,0,0,18.4461585389775,73.8821015230324,Residential,Apartment,0
27000000,13643.0,3,1414.0,4.0,0,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
3500000,4605.0,2,543.0,2.0,0,1,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
9936142,6853.0,3,1110.0,2.0,0,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
1400000,8750.0,1,100.0,1.0,0,1,0,0,0,0,18.51050508,73.86993915,Residential,Apartment,0
18000000,12000.0,3,1336.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
8700000,7909.0,2,900.0,2.0,1,1,0,0,0,0,18.5041515,73.9015575,Residential,Apartment,0
10500000,9276.0,3,989.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
8000000,8421.0,2,750.0,2.0,0,0,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
4500000,4891.0,2,620.0,2.0,0,1,0,0,0,0,18.4375067657152,73.7916389825431,Residential,Apartment,0
22500000,18000.0,3,1042.0,3.0,1,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
9300000,10333.0,2,706.0,2.0,1,1,0,0,0,0,18.6323526,73.8107226,Residential,Apartment,0
5200000,11231.0,1,397.0,1.0,0,0,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
6700000,8221.0,2,716.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
7200000,8000.0,2,673.0,2.0,1,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
3900000,4626.0,2,592.0,2.0,1,1,0,0,0,0,18.5079578,73.6822885,Residential,Apartment,0
10200000,7286.0,3,1020.0,3.0,0,0,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
5800000,10394.0,1,450.0,1.0,0,1,0,0,0,0,18.5635786191835,73.7712219425184,Residential,Apartment,0
9450000,11595.0,2,705.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
11200000,8000.0,3,1200.0,3.0,0,0,0,0,0,0,18.5079578,73.6822885,Residential,Apartment,0
9600000,9412.0,2,747.0,2.0,0,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
15100000,12583.0,3,1030.0,3.0,1,1,0,0,0,0,18.640704391697,73.7919814072661,Residential,Apartment,0
8500000,6773.0,2,935.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
3400000,5862.0,1,430.0,1.0,0,0,0,0,0,0,18.4942918,73.7214535,Residential,Apartment,0
10000000,8764.0,3,1042.0,2.0,1,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
2600000,4228.0,1,500.0,1.0,0,1,0,0,0,0,18.4444865911802,73.8231828087887,Residential,Apartment,0
8600000,10818.0,2,600.0,2.0,0,0,0,0,0,0,18.5204466,73.901158,Residential,Apartment,0
10800000,9566.0,2,877.0,2.0,0,0,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
8000000,10512.0,2,535.0,2.0,0,1,0,0,0,0,18.4575576340076,73.8049225876653,Residential,Apartment,0
12800000,9014.0,3,1268.0,3.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
11000000,10476.0,2,940.0,2.0,1,1,0,0,0,0,18.5995184845644,73.7212220016587,Residential,Apartment,0
5400000,6413.0,2,740.0,2.0,0,1,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
5500000,6571.0,2,837.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
4500000,6259.0,1,575.0,1.0,0,1,0,0,0,0,18.441244,73.799721,Residential,Apartment,0
12500000,12768.0,3,800.0,3.0,0,1,0,0,0,0,18.5878336641417,73.7485136212327,Residential,Apartment,0
8000000,8290.0,2,687.0,2.0,0,0,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
6500000,6842.0,2,650.0,2.0,0,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
5500000,5914.0,2,702.0,2.0,0,0,0,0,0,0,18.7318421,73.680706,Residential,Apartment,0
2300000,3286.0,2,650.0,1.0,0,0,0,0,0,0,18.3508177593047,74.0307512790923,Residential,Apartment,0
7500000,11538.0,1,527.0,1.0,0,1,0,0,0,0,18.5726776408445,73.8782245106378,Residential,Apartment,0
